"","year","year_code","country_name","country_code","gdp","foreign_inv_inflows","life_exp","exports_perc_gdp","inflation_perc","education_years","education_perc_gdp","gds_perc_gdp","gross_savings_perc_gdp","int_tourism_arrivals","int_tourism_receipts","gni","perc_internet_users","hdi","hdi_cat"
"28",2020,"YR2020","Cambodia","KHM",4284028482.53766,130956363.872694,60.283,55.422133135624,3.22508361481579,6,1.71121001243591,8.49714744501145,14.3561391805386,787000,5.09e+08,4096441959.94383,0.226983,0.594,"medium"
"29",2020,"YR2020","Cameroon","CMR",11579343088.1613,505256043.293607,51.536,24.296900395925,2.83442260128067,6,3.0136399269104,19.5744162738975,14.2183399667327,487000,1.24e+08,10906514675.5713,0.360872,0.563,"medium"
"30",2020,"YR2020","Canada","CAN",757950678646.53,24486425376.8819,79.490243902439,40.201285970346,2.25839440940856,10,5.01072978973389,23.9398479299711,21.8020873239905,20057000,1.2744e+10,741406996750.143,61.5933,0.929,"very high"
"31",2020,"YR2020","Central African Republic","CAF",991387870.12463,5644286.5587,44.063,15.96270493648,3.30012175283749,10,1.5195699930191,5.44173382729588,36.6870078203028,2900,3e+06,982309385.151714,0.128537,0.397,"low"
"32",2020,"YR2020","Chad","TCD",1997005786.54118,924119210.0868,47.9,12.6899405964434,5.19181895195446,6,1.59294998645782,-40.8147536268974,44.4981195681806,61000,2.5e+07,1936981359.29949,0.16607,0.398,"low"
"33",2020,"YR2020","Chile","CHL",69736811435.1032,2549923142.41108,76.894,32.8039336278624,2.48939816650703,8,4.08121013641357,24.5472175093976,21.5054175236778,1412000,1.221e+09,67033029762.5337,22.1,0.851,"very high"
"34",2020,"YR2020","China","CHN",1470550015081.55,53073618897.4036,72.061,22.64474567395,-0.731975500083577,9,4.33701992034912,39.0165567529092,38.8832254802573,36803000,2.1742e+10,1455604866961.46,4.5957,0.761,"high"
"35",2020,"YR2020","Colombia","COL",97963003804.7851,2133698124.14946,73.517,14.8155696775272,6.35192507425155,10,4.26812982559204,13.9000419854641,13.924984788252,567000,1.237e+09,95331633503.9279,4.6,0.767,"high"
"36",2020,"YR2020","Comoros","COM",425964697.418664,430423.4793,59.617,8.83617675060801,3.53304214308075,6,2.25841999053955,-0.0424143703496478,6.84050966601236,18900,10900000,425207827.288472,0.55487,0.554,"medium"
"37",2020,"YR2020","Congo, Dem. Rep.","COD",8728038525.14034,187598693.6937,51.385,15.6713428067886,31.5225826025495,6,1.5249799489975,9.46163105352923,7.36242164772361,28000,3200000,8430337554.61324,0.0927907,0.48,"low"
"38",2020,"YR2020","Congo, Rep.","COG",3034251042.07329,199155450.954144,53.091,81.5164254833959,4.37875971780872,10,3.20831990242004,51.9090786070597,23.5497916763512,35000,25600000,2183515345.53473,0.15725,0.574,"medium"
"39",2020,"YR2020","Costa Rica","CRI",16504795592.7964,723172624.768835,77.74,39.4004598290158,9.16640559221474,11,5.17354011535645,17.9538148217616,14.3735980680102,1113000,1.429e+09,15743590601.9677,19.8949,0.81,"very high"
"40",2020,"YR2020","Cote d'Ivoire","CIV",12405208665.4831,212580417.4534,49.475,47.4623494754671,3.0772648515743,10,4.09033012390137,20.969694701985,11.0150825596509,205000,5.6e+07,10857690889.8375,0.497929,0.538,"low"
"41",2020,"YR2020","Croatia","HRV",26813968850.5192,980784304.813265,74.7173170731707,36.2125231975375,1.67178437393382,8,3.81978011131287,15.2092396442826,18.2925124034204,6944000,3.952e+09,26355714857.8312,17.76,0.851,"very high"
"42",2020,"YR2020","Cuba","CUB",33590500000,-614133333.333333,77.105,11.5270686652476,3.62935894557549,9,9.57116985321045,7.52124588797428,13.924984788252,1656000,1.769e+09,32979826200,3.77059,0.783,"high"
"43",2020,"YR2020","Cyprus","CYP",11420227884.6154,1103449726.13198,78.264,62.4053120319487,2.80115505180746,10,5.58166980743408,21.6303611750978,17.4952612506446,2418000,2.178e+09,10831199038.4615,28.32,0.887,"very high"
"44",2020,"YR2020","Czech Republic","CZE",82196001050.7474,8496609035.7758,75.2219512195122,45.0041286043534,1.90298097019031,9,3.97255992889404,29.290645571022,26.8038430389991,4743000,3.376e+09,79239888083.1801,23.93,0.9,"very high"
"45",2020,"YR2020","Denmark","DNK",178635163717.431,4430703178.95052,76.8951219512195,45.7044791859005,2.42443661219694,10,8.2130298614502,28.195037931528,25.2583945609658,3436000,4.791e+09,176412403257.882,64.25,0.94,"very high"
"46",2020,"YR2020","Djibouti","DJI",591122039.601398,3432346.2055694,57.235,156.538300905396,0.637619553666345,10,8.44760036468506,21.9537743334376,29.9457532347014,22500,8900000,606415674.005886,0.486972,0.524,"low"
"47",2020,"YR2020","Dominica","DMA",333195185.185185,20110637.037037,76.5975609756098,36.9656090802077,0.170055330197674,12,3.40858006477356,-136.87293792819,32.9307005112317,69000,4.6e+07,305264814.814815,18.4249,0.742,"high"
"48",2020,"YR2020","Dominican Republic","DOM",27137508655.3127,9.26e+08,69.957,30.7240101573319,5.22336769759447,9,1.9140100479126,19.6814930822892,23.7983842265501,2811000,2.73e+09,25985430345.9163,6.82373,0.756,"high"
"49",2020,"YR2020","Ecuador","ECU",28548945000,783261009.55,73.371,21.4923738863205,12.4840185721018,10,4.50743007659912,17.310576625511,18.7078718571261,683000,4.49e+08,27296182800,4.2608,0.759,"high"
"50",2020,"YR2020","Egypt, Arab Rep.","EGY",85146067415.7303,646900000,68.961,18.3161784111903,2.73723855000332,9,4.67072010040283,13.6447611506994,18.4079875956717,4906000,4.133e+09,85241867415.7303,2.72,0.707,"high"
"51",2020,"YR2020","El Salvador","SLV",12664190300,4.7e+08,69.432,25.5130894550755,1.86552503610078,9,3.242840051651,2.17175905829526,15.5914879137595,798000,5.21e+08,12340790300,1.9,0.673,"medium"
"52",2020,"YR2020","Equatorial Guinea","GNQ",1806742742.27311,323391507.4578,53.84,87.4173831312055,7.59247849833242,5,2.82522010803223,83.2870432750132,24.263280742439,91000,3e+06,821380430.543874,0.321198,0.592,"medium"
"53",2020,"YR2020","Eritrea","ERI",729321366.651861,22766165.86,56.5,11.7811808402808,1.16962180301104,8,3.52390003204346,-23.4788686675121,44.4981195681806,101000,7.3e+07,723218652.834893,0.22709,0.459,"low"
