Time,Time Code,Country Name,Country Code,GDP (current US$),Gini index (World Bank estimate),"Foreign direct investment, net inflows (BoP, current US$)","Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Inflation, consumer prices (annual %)","Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Arms imports (SIPRI trend indicator values),Fossil fuel energy consumption (% of total),Gross domestic savings (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),Research and development expenditure (% of GDP),"International tourism, number of arrivals","International tourism, receipts (current US$)","International tourism, number of departures",GNI (current US$),Individuals using the Internet (% of population)
2002,YR2002,Finland,FIN,139738377564.465,..,8094575465.0898,78.119512195122,39.1350026265102,..,1.57122012789382,9,6.01677989959717,..,..,..,12000000,51.3468472390785,31.1194321350161,30.8985636197881,..,3.2574,2043000,2235000000,5857000,140161867118.389,62.43
2002,YR2002,France,FRA,1494286655373.61,..,51550483853.8505,79.2609756097561,27.5310502579308,..,1.9234122872706,10,..,..,..,..,43000000,52.8135340747216,23.3056582289403,22.7447856422458,..,2.17449,77012000,41113000000,18315000,1509850367024.28,30.18
2002,YR2002,French Polynesia,PYF,..,..,10930935.8556037,73.017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189000,471000000,..,..,8.20022
2002,YR2002,Gabon,GAB,5335451307.54323,..,1160708.31013769,57.791,52.6088996947807,..,0.036682889397103,10,..,..,..,..,..,28.0789635250224,46.2207732312639,34.7473825496597,..,..,208000,77000000,219000,4854435521.76894,1.93953
2002,YR2002,"Gambia, The",GMB,578236035.104279,..,42827000,56.761,27.1573845831505,..,8.60912474386329,9,1.44291996955872,..,..,..,..,..,1.55918418188423,..,..,..,81000,..,..,545288099.087249,1.79678
2002,YR2002,Georgia,GEO,3395728013.84524,37.2,160398660.46,70.22,29.229275751073,..,5.58783730000795,6,2.23501992225647,..,91.1067733764648,48.3394203186035,..,49.5894752193351,12.3948792918455,19.0747793487365,..,0.18574,..,144000000,317000,3406128022.95396,1.58788
2002,YR2002,Germany,DEU,2068624129493.69,29.9,51268214890.625,78.2292682926829,32.5925791130602,..,1.42080560518857,13,..,..,..,..,71000000,83.2781567929544,25.0266591450876,22.6332680909175,..,2.4239,17969000,26717000000,80393000,2046678900809.34,48.82
2002,YR2002,Ghana,GHA,6166330136.2948,..,58930000,57.425,42.6162518930867,..,14.8162400637478,9,..,..,..,..,1000000,36.0289910933857,7.44326061151815,18.7540350374524,..,..,483000,383000000,..,6036889828.36951,0.830284
2002,YR2002,Gibraltar,GIB,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.6702
2002,YR2002,Greece,GRC,153830946734.425,..,34180546.5370646,78.6414634146341,20.1128547276336,..,3.62935894557549,9,3.42430996894836,..,..,..,400000000,94.0716597172761,14.6264170158901,..,..,..,14180000,10012000000,..,..,14.67
